Timestamp,XT,Weekday,Holiday,XTForecastEstimation
2018-02-21 21:00:00,5138.146369282,3,0,5164.311690844853
2018-02-21 22:00:00,4567.128971527,3,0,4619.913491895782
2018-02-21 23:00:00,4107.168670346,3,0,4105.009969415265
2018-02-22 00:00:00,3470.257592006,4,0,3514.782380552774
2018-02-22 01:00:00,2940.4740423000003,4,0,2971.0861276598953
2018-02-22 02:00:00,2869.1877913920002,4,0,2901.6680426145745
2018-02-22 03:00:00,2716.070929685,4,0,2766.615954526152
2018-02-22 04:00:00,2619.854762934,4,0,2649.0347808204483
2018-02-22 05:00:00,2688.0296043629996,4,0,2716.2498886255034
2018-02-22 06:00:00,3042.344323252,4,0,3086.6192810051757
2018-02-22 07:00:00,3632.615504028,4,0,3706.0810892095787
2018-02-22 08:00:00,3979.7904606519996,4,0,4044.9213401397387
2018-02-22 09:00:00,4319.732625234999,4,0,4447.655316929179
2018-02-22 10:00:00,4441.658578771,4,0,4650.475560902423
2018-02-22 11:00:00,4480.985780796,4,0,4698.480701105616
2018-02-22 12:00:00,4524.048571323,4,0,4704.140755094154
2018-02-22 13:00:00,4492.320833921,4,0,4655.9810218928715
2018-02-22 14:00:00,4226.578510933,4,0,4362.7750187129695
2018-02-22 15:00:00,4379.782928232999,4,0,4539.157198944234
2018-02-22 16:00:00,4262.5428736409995,4,0,4452.710775476506
2018-02-22 17:00:00,4239.483091478,4,0,4472.681606456908
2018-02-22 18:00:00,4889.9950783369995,4,0,5146.726715122634
2018-02-22 19:00:00,5317.369893004,4,0,5551.277785860166
2018-02-22 20:00:00,5284.548404515001,4,0,5524.921287683014
2018-02-22 21:00:00,4970.485214704,4,0,5062.114585232828
2018-02-22 22:00:00,4472.959852544001,4,0,4520.384336362075
2018-02-22 23:00:00,4007.8858568,4,0,4036.081639154075
2018-02-23 00:00:00,3344.3046191999997,5,0,3385.945662547751
2018-02-23 01:00:00,2848.403517549,5,0,2884.611994312658
2018-02-23 02:00:00,2829.139126833,5,0,2818.5634354309987
2018-02-23 03:00:00,2691.311726847,5,0,2681.6114344080233
2018-02-23 04:00:00,2595.2238349520003,5,0,2580.3704487091886
2018-02-23 05:00:00,2659.741958348,5,0,2639.458984978252
2018-02-23 06:00:00,3019.2321059370006,5,0,3036.857308709917
2018-02-23 07:00:00,3571.099396895,5,0,3645.7381494997335
2018-02-23 08:00:00,3897.9351304179995,5,0,4005.882447585742
2018-02-23 09:00:00,4224.379725784,5,0,4372.186718939142
2018-02-23 10:00:00,4313.941895725,5,0,4501.114852975564
2018-02-23 11:00:00,4340.966513836,5,0,4569.191019319875
2018-02-23 12:00:00,4371.118114389,5,0,4619.203743045353
2018-02-23 13:00:00,4388.599051261001,5,0,4655.860250795618
2018-02-23 14:00:00,4236.41500929,5,0,4457.344406456673
2018-02-23 15:00:00,4370.78092587,5,0,4556.8433724599045
2018-02-23 16:00:00,4285.075661781,5,0,4450.260980033349
